team_name,country_name,colours
Valladolid Colors,Spain,"#000000,#ffffff,#f4e423,#168554,#921b88"
Real Madrid C.F.,Spain,"#EE324E,#00529F,#FEBE10"
Sevilla FC Colors,Spain,"#f43333,#c79100,#ffffff"
Villarreal CF Colors,Spain,"#e70005,#ffe667,#000000,#005187"
RCD Mallorca Colors,Spain,"#ffe200,#e20613,#000000,#00844b"
CD Leganes Colors,Spain,"#194a0e,#3bad36,#ffffff,#cf9802,#0c1f6e"
Osasuna Colors,Spain,"#ad8f1f,#0a346f,#d91a21,#ffffff"
Real Sociedad Colors,Spain,"#e4b630,#ffffff,#d87722,#e1061f,#0067b1"
Granada CF,Spain,"#a61b2b,#ffffff"
RCD Espanyol Colors,Spain,"#f4cf0c,#df1116,#007fc8,#ffffff"
Getafe CF Colors,Spain,"#c43a2f,#005999,#ffffff,#7da738,#fced0b"
Valencia C.F.,Spain,"#ee3524,#000000,#aa2d2a,#d18816,#0097d7,#ffdf1c"
SD Eibar Colors,Spain,"#e09701,#0071b9,#aa093c,#0c2d69,#ffffff"
Atletico Madrid,Spain,"#FFFFFF,#272E61,#CB3524"
Barcelona FC,Spain,"#FFED02,#A50044,#DB0030,#EDBB00,#000000,#004D98"
Levante Union Deportiva,Spain,"#fac400,#dca43e,#005ca5,#b2b2b2,#b4053f"
Athletic Bilbao,Spain,"#000000,#ee2523,#ffffff"
RC Celta de Vigo,Spain,"#b19221,#e5254e,#8ac3ee"
Deportivo Alavés,Spain,"#009ad7,#0761af"
Deportivo de La Coruña,Spain,"#db5232,#57175e,#b9d9ec,#a38d44"
Real Betis,Spain,"#0bb363,#e7a614,#d62550"
